id,player_id,games,pos,points,rebounds,assists,steals,blocks,turnovers,fg_percentage,three_point_percentage,free_throw_percentage,updated_at,minutes,case_name
63,95,919,4,12,7.1,0.8,0.4,1.9,1.3,0.513,0.359,0.757,"2024-12-08 19:57:38",NULL,"Serge Ibaka"
64,96,1238,5,21.8,11.1,2.5,1.7,3.1,3,0.512,0.202,0.712,"2024-12-08 21:01:51",NULL,"Hakeem Olajuwon"
65,97,1231,3,11.3,4.9,4.2,1.4,0.5,1.8,0.463,0.33,0.709,"2024-12-08 21:01:51",NULL,"Andre Iguodala"
66,98,224,5,2.2,2.7,0.1,0.3,0.8,0.5,0.567,-1,0.578,"2024-12-08 21:03:02",NULL,"Hasheem Thabeet"
67,99,567,5,7.2,4.9,1.5,0.5,1,1.7,0.462,0,0.76,"2024-12-08 21:01:51",NULL,"Luc Longley"
68,100,271,1,22.5,4.8,7.5,1,0.3,3.3,0.471,0.317,0.76,"2024-12-08 21:01:51",NULL,"Ja Morant"
69,101,190,4,24.6,6.6,4.2,1,0.6,2.8,0.587,0.341,0.694,"2024-12-08 21:01:51",NULL,"Zion Williamson"
70,102,1295,1,17.4,4.5,9.3,2,0.2,2.3,0.471,0.369,0.871,"2024-12-08 21:01:51",NULL,"Chris Paul"
71,103,971,4,17.9,7.3,1.7,0.4,1.7,1.9,0.554,0.261,0.798,"2024-12-08 21:01:51",NULL,"Kevin McHale"
72,104,1178,3,16.1,6.4,5.2,2,0.8,2.8,0.473,0.326,0.704,"2024-12-08 21:01:51",NULL,"Scottie Pippen"
73,105,430,1,25.3,3.6,9.7,1,0.2,4.2,0.434,0.352,0.874,"2024-12-08 21:01:51",NULL,"Trae Young"
74,78,1018,2,16.1,2.2,4.5,0.9,0.1,2,0.46,0.382,0.843,"2024-12-08 21:03:02",NULL,"Joe Dumars"
75,106,1058,4,15.9,8.5,2.1,0.9,1.7,1.9,0.5,0.095,0.736,"2024-12-08 21:03:02",NULL,"Elton Brand"
76,107,1303,4,21,12.5,1.8,1,2,2.4,0.452,0.147,0.67,"2024-12-08 21:03:02",NULL,"Elvin Hayes"
77,108,984,5,10.8,14,3.9,1.1,0.6,1.9,0.509,0.5,0.633,"2024-12-08 21:03:02",NULL,"Wes Unseld"
78,109,590,5,8.5,5.5,0.7,0.2,0.3,-1,0.434,-1,0.63,"2024-12-08 21:03:02",NULL,"Walt Wesley"
79,110,659,1,11.6,1.8,8.1,1.4,0.1,3.5,0.483,0.188,0.737,"2024-12-08 21:03:02",NULL,"Kevin Porter"
80,111,1424,4,12.1,8.4,0.9,0.7,0.5,1.8,0.487,0.211,0.713,"2024-12-08 21:03:02",NULL,"Kevin Willis"
81,112,522,3,9.3,4.7,1.7,0.6,0.1,-1,0.438,-1,0.732,"2024-12-08 21:03:02",NULL,"Dave Stallworth"
82,113,875,4,16.1,11,2.9,0.9,0.5,-1,0.432,-1,0.699,"2024-12-08 21:03:02",NULL,"Dave DeBusschere"
83,114,829,4,17,15.6,3.3,0.4,0.3,-1,0.499,-1,0.783,"2024-12-08 21:03:02",NULL,"Jerry Lucas"
84,115,44,1,2.4,0.6,2,0.4,0,1,0.404,0,0.81,"2024-12-08 21:03:02",NULL,"Billy Donovan"
85,116,1030,4,10.9,6.4,1,0.6,0.8,1.3,0.455,0.238,0.79,"2024-12-08 21:03:02",NULL,"Joe Smith"
86,117,819,3,8.7,2.8,1.5,1.2,0.3,1.2,0.425,0.284,0.713,"2024-12-08 21:03:02",NULL,"Corey Brewer"
87,118,730,4,6.1,3.3,0.9,0.4,0.3,0.6,0.414,0.373,0.771,"2024-12-08 21:03:02",NULL,"Anthony Tolliver"
88,119,480,1,11.6,2.8,4.3,1.1,0.4,2.3,0.433,0.342,0.809,"2024-12-08 21:03:02",NULL,"Jeremy Lin"
